Kartentyp,Name,Trivia,Quelle,Voraussetzung,Effekt,Kernenergie,Fossile Energien,Windenergie,Solarenergie,Ereigniskarten
Unterstützer,"""Kernenergie? Ja, bitte!""","Nach den Aufruhen der Fukushima Katastrophe bildete sich die ""Kernenergie? Ja, bitte! ""-Bewegung als Gegner der bekannteren ""Atomkraft? Nein, danke!""-Bewegung. ",http://www.faz.net/aktuell/politik/energiewende/atomkraft-ja-bitte-gruende-gegen-die-energiewende-13596102.html,,Ziehe 3 Karten. Wenn du jetzt mehr als 5 Handkarten hast: alle Gegenspieler ziehen 1 Karte.,2,0,0,0,0
Unterstützer,Verein deutscher Kohleimporteure,Der Verein deutscher Kohleimporteure vertritt die Interessen von 68 Mitgliedern aus verschiedenen Wirtschaftsbereichen. Weiterhin veröffentlicht er jährliche Berichte über den Kohlemarkt.,http://www.kohlenimporteure.de/ueber-uns.html,,Alle Gegenspieler werfen 1 Karte ab.,0,2,0,0,0
Unterstützer,Protect the Planet,"Die Gruppierung ""Protect the Planet"" startete Anfang 2017 ihre Pro-Windkraft Kampagne. Sie wollen damit den Kommunen und Umweltschutzorganisation im Kampf um die Windkraft helfen.",http://www.protect-the-planet.de/kampagne-pro-windkraft/,,Schlechtes Wetter: zerstöre 1 Gebäude eines Gegenspielers.,0,0,2,0,0
Unterstützer,Bündnis 90/Die Grünen,Die Partei der Grünen spricht sich seit ihrer Gründung für erneuerbare Energien aus. So ist auch die Förderung der Solarenergie ein Teil ihres Wahlversprechens für 2017.,http://www.sfv.de/artikel/wahlversprechen_der_gruenen_fuer_2017.htm,,Du kannst diese Runde (für jede Karte einzeln) das Wetter bestimmen.,0,0,0,2,0
Gebäude,Kernkraftwerk Isar,Das Kernkraftwerk Isar ist eines der leistungsfähigsten deutschen Kernkraftwerke und seit 1979 im kommerziellen Betrieb. Es soll voraussichtlich 2022 abgeschaltet werden.,https://de.wikipedia.org/wiki/Kernkraftwerk_Isar,Mische 3 Karten aus deinem Ablagestapel ins Deck.,Du kannst Gebäudeeffekte 2 mal pro Runde aktivieren.,1,0,0,0,0
Gebäude,Kraftwerk Neurath,"Das Kraftwerk Neurath ist das zweitgrößte Braunkohlekraftwerk Europas und das leistungsfähigste Kraftwerk Deutschlands. Sein jährlicher CO2-Ausstoß beträgt etwa 32,1 Mio. Tonnen.",https://de.wikipedia.org/wiki/Kraftwerk_Neurath,Lege die obersten 3 Deckkarten auf den Ablagestapel.,"Wähle eins pro Zug: 1. Alle Gegenspieler werfen 2 Karten ab, oder 2. du ziehst 2 Karten, oder 3. mische 2 Karten vom Ablagestapel ins Deck.",0,1,0,0,0
Gebäude,Windpark Stößen-Teuchern,Der Onshore-Windpark Stößen-Teuchern ist der leistungsfähigste Onshore-Winpark in Deutschland. Er wurde in mehreren Phasen ab 1996 errichtet.,https://de.wikipedia.org/wiki/Windpark_St%C3%B6%C3%9Fen-Teuchern,Lege die obersten 2 Deckkarten auf den Ablagestapel.,Mische 5 Karten aus deinem Ablagestapel zurück ins Deck. Nimm dieses Gebäude auf die Hand zurück.,0,0,1,0,0
Gebäude,Solarkomplex Senftenberg,Der Solarkomplex Senftenberg ist der größte deutsche Solarkomplex. Seine Herstellung war aufgrund von Kürzungen der Solar-Förderung erst ungewiss.,https://de.wikipedia.org/wiki/Solarkomplex_Senftenberg,Wirf 2 Karten ab.,Dieser Effekt muss jede Runde aktiviert werden. Gutes Wetter: alle Gegenspieler werfen 2 Karten ab; schlechtes Wetter: du wirfst 2 Karten ab.,0,0,0,1,0
Plan,Generation IV,Die vierte Generation an Kernkraftwerken beschreibt zukünftige Reaktortypen. Dazu gehören beispielsweise Flüssigsalzreaktoren oder Brutreaktoren.,https://www.gen-4.org/gif/jcms/c_59461/generation-iv-systems,1 Gebäude des Kernenergie-Decks wird gebaut.,"Wähle 2 Spieler, sie müssen 1 Karte abwerfen.",3,0,0,0,0
Plan,Kohleförderung,Deutschland ist der weltweit größte Braunkohle Konsument und Förderer. Russland hat aufgrund der großen Fläche die meisten Braunkohlereserven.,https://de.wikipedia.org/wiki/Kohle/Tabellen_und_Grafiken,1 Ereigniskarte wird aktiviert.,Annuliere die Ereigniskarte.,0,3,0,0,0
Plan,Dänemark an der Spitze,"Dänemark ist das erste Land, dass 39% ihrer gesamten Energie aus der Windkraft gewonnen hat. Im darauffolgenden Jahr steigerten sie sich sogar auf 42%.",http://www.huffingtonpost.de/2016/01/19/land-weltrekord-windkraft_n_9016182.html,Der Münzwurf entscheidet gutes Wetter.,Das Wetter ändert sich in schlechtes Wetter.,0,0,3,0,0
Plan,Solar Grand Plan,"Der ""Solar Grand Plan"" ist eine Zukunftsstudie zur Deckung des amerikanischen Strombedarfs durch Sonnenkraftwerke. In Europa gibt es vergleichbare Studien.",https://de.wikipedia.org/wiki/Solar_Grand_Plan,Der Münzwurf entscheidet schlechtes Wetter.,Das Wetter ändert sich in gutes Wetter.,0,0,0,3,0
Unterstützer,EURATOM,EURATOM ist eine internationale Forschungseinrichtung mit dem Ziel Atomkraft sicherer und effizienter zu machen und so für eine sichere Energiequelle in der Zukunft zu sorgen.,https://ec.europa.eu/programmes/horizon2020/en/h2020-section/euratom,,Ziehe 2 Karten.,2,0,0,0,0
Unterstützer,Norwegen,Norwegen ist weltweit bekannt dafür ein Land mit Erdöl im Überfluss zu sein. Doch der sinkende Preis des Öls macht starke Probleme - die Arbeitslosenquote ist zwischen Anfang 2015 und Februar 2016 um 0.8% gestiegen.,http://www.n-tv.de/wirtschaft/Abschied-vom-Uberfluss-article17058486.html,,Alle Pläne werden vom Spielfeld auf den Ablagestapel gelegt.,0,2,0,0,0
Unterstützer,Seewind,Der Norden Deutschlands kann durch den starken Seewind eine große Menge der benötigten Energie in Deutschland aufbringen.,,,"Schlechtes Wetter: Wähle einen Spieler, er legt die obersten 4 Deckkarten auf den Ablagestapel.",0,0,2,0,0
Unterstützer,Aktionäre zur Rettung,"2013 war das Solarenergie-Unternehmen Solar-Word kurz vor der Pleite. Durch einen Plan, der den Aktienwert des Unternehmens verringert, konnte mit Unterstützung der Aktienhälter das Unternehmen gerettet werden.",http://www.wiwo.de/unternehmen/energie/aktionaere-nehmen-sanierungsplan-an-solarworld-gerettet-vorerst/8605834.html,,Schlechtes Wetter (diese und letzte Runde): alle Gegenspieler werfen 2 Handkarten ab.,0,0,0,2,0
Gebäude,Kernkraftwerk Brokdorf,Das Kernkraftwerk Brokdorf ist eines der leistungsfähigsten deutschen Kernkraftwerke und ist ein Druckwasserreaktor. Er verwendet 103t Kernbrennstoff.,https://de.wikipedia.org/wiki/Kernkraftwerk_Brokdorf,Aktiviere eine Ereigniskarte.,Lege die oberste Karte von deinem Deck auf den Ablagestapel. Ziehe 1 Karte.,2,0,0,0,0
Gebäude,Gersteinwerk,"Das Gersteinwerk liegt in Nordrhein-Westfalen und ist nach Karl Gerstein benannt. Es ist ein kombiniertes Dampfkraftwerk und verwendet sowohl Steinkohle, als auch Erdgas.",https://de.wikipedia.org/wiki/Gersteinwerk,Aktiviere eine Ereigniskarte.,Tausche 1 Handkarte mit der obersten Deckkarte.,0,2,0,0,0
Gebäude,Windpark Alpha Ventus,"Der erste deutsche off-shore-Windpark hat im März 2016 m insgesamt eine Gesamtleistung von 1,5 Terrawattstunden erzeugt.",https://www.alpha-ventus.de/ueberblick/,Aktiviere eine Ereigniskarte.,Wähle eine Handkarte. Ziehe 1 Karte. Lege die oberste Karte vom Ablagestapel aufs Deck. Wirf die gewählte Handkarte ab.,0,0,2,0,0
Gebäude,"Solaranlage in Altai, Russland","In Russland spielte Solarenergie lange Zeit nur in der Weltraumforschung eine Rolle. Doch ab 2014 wird in schwierig zugänglichen Regionen, mit dem Pilotprojekt von Altai angeführt, Solarenergie gefördert.",http://de.rbth.com/wissen_und_technik/2014/09/28/russische_energiewende_solarstrom_aus_sibirien_31259,Aktiviere eine Ereigniskarte.,Sieh dir die oberste Deckkarte an.,0,0,0,2,0
Plan,Kommission Lagerung hoch radioaktiver Abfallstoffe,Die Kommission Lagerung hoch radioaktiver Abfallstoffe beschloss 2016 die Suche nach einem Endlager für radioaktive Abfallstoffe. Dieses soll bis 2031 gefunden werden.,http://dip21.bundestag.de/dip21/btd/18/091/1809100.pdf,In der Runde nach spielen dieser Karte wird kein Gebäude gebaut.,Wähle 1 Endlager aus deinem Deck oder deiner Hand und baue es.,1,0,0,0,0
Plan,Bevölkerungswachstum der Welt,"Fossile Energiequellen erhalten keine große Förderung mehr. Trotzdessen werden sie in Zukunft einen großen Anteil der Energieversorgung weltweit haben, auch gerade durch das große Bevölkerungswachstum. ",https://www.heise.de/newsticker/meldung/Fossile-Energietraeger-bleiben-Eckpfeiler-der-globalen-Versorgung-2213775.html,Ein Gegenspieler baut 1 Gebäude.,Wähle 1 Gebäude in deinem Ablagestapel und baue es.,0,1,0,0,0
